id,name,species,color,image_url,age_in_months,description,created_at,updated_at
1,Pat,Cat,Grey,http://www.caaws.org/wp-content/uploads/2017/03/pat-the-cat-e1488716652150.jpg,35,"Black face, grey body.","2017-09-08 23:43:45.854890","2017-09-08 23:43:45.854890"
2,Rosie,Dog,White/Tan,http://www.caaws.org/wp-content/uploads/2017/05/thumbnail_rosie2-e1495672219950-300x300.jpg,26,"Loves people.","2017-09-09 14:48:22.482772","2017-09-09 14:48:42.785243"
3,Rex,Cat,Black/Tan/White,http://www.wnynetworks.net/~heartfor//adoptable_photos/r_0606150328_1.jpg,12,"Cuddly and loyal.","2017-09-09 14:50:13.236342","2017-09-09 14:50:13.236342"
4,Pinky,Dog,Tan/White,https://static1.squarespace.com/static/57589331f8baf360886e43ab/576afc2e414fb5f6a4ba39f2/576afc409f7456da7992157d/1466629768487/IMG_5551.jpeg?format=300w,4,"Likes to play fetch.","2017-09-09 14:51:30.347947","2017-09-09 14:51:30.347947"
5,Sprinkle,Cat,Black/Tan/White,http://www.wnynetworks.net/~heartfor//adoptable_photos/r_0128140450_1.jpg,7,"Catches mice.","2017-09-09 14:53:26.555480","2017-09-09 14:53:26.555480"
6,Rover,Dog,Grey,http://4.bp.blogspot.com/-GsDkrDhT9Ug/T-yQwNMkF5I/AAAAAAAAD_Y/oEvjB0MMh8M/s400/pointer1.jpg,30,"Known to bring gifts home.","2017-09-09 14:55:03.718602","2017-09-09 14:55:18.596781"
7,Norris,Cat,Orange,http://www.caaws.org/wp-content/uploads/2017/05/norris2-300x300.jpg,9,"Rescue cat looking for a family.","2017-09-09 14:56:07.889644","2017-09-09 14:56:07.889644"
8,Arroyo,Dog,White/Tan,http://suindependent.com/wp-content/uploads/2017/07/Arroyo-1.jpg,4,"Happy and healthy dog.","2017-09-09 14:56:58.098570","2017-09-09 14:56:58.098570"
9,Zia,Cat,White/Tan,http://www.caaws.org/wp-content/uploads/2016/08/zia-1-300x300.jpg,28,"Enjoys a good book.","2017-09-09 14:57:47.799967","2017-09-09 14:57:47.799967"
10,Draper,Dog,White,http://www.caaws.org/wp-content/uploads/2017/05/Draper3-e1494641108487-300x300.jpg,8,"Gives lots of kisses.","2017-09-09 14:58:35.308998","2017-09-09 14:58:35.308998"
11,Francine,Cat,Black,http://www.caaws.org/wp-content/uploads/2016/08/francine-1-300x300.jpg,30,"She looks into your soul.","2017-09-09 14:59:29.276879","2017-09-09 14:59:29.276879"
12,Cutie,Dog,White/Tan,https://i.pinimg.com/736x/3a/53/4b/3a534b12d907bc3b92d2cfa6c9763181--pet-shelter-shelters.jpg,8,"Lap dog, abused, needs a loving home.","2017-09-09 15:00:43.825436","2017-09-09 15:00:43.825436"
13,Bert,Cat,Black/White,http://suindependent.com/wp-content/uploads/2017/05/Bert.jpg,15,"Feisty and Fun.","2017-09-09 15:02:24.657379","2017-09-09 15:02:24.657379"
14,Dusty,Dog,Tan,https://i.pinimg.com/736x/8f/b2/94/8fb2946148162833194bb23b323e48f2--calgary-people.jpg,2,"Misses his brothers and sisters.","2017-09-09 15:03:27.407271","2017-09-09 15:03:27.407271"
15,Roscoe,Cat,Tan,http://www.caaws.org/wp-content/uploads/2017/04/Roscoe-2-e1492431206120-300x300.jpg,26,"Majestic and wise.","2017-09-09 15:04:09.099448","2017-09-09 15:04:09.099448"
16,Fred,Dog,Orange,https://i.pinimg.com/736x/cb/45/95/cb45950ad72e750b0b687d7ed5384f0d--how-to-get-doberman-pinscher.jpg,4,"The quiet one of the litter.","2017-09-09 15:05:03.910984","2017-09-09 15:05:03.910984"
17,Honey,Cat,Grey,https://static1.squarespace.com/static/522c9189e4b09d456b09290d/t/569e4ee4cbced647da459909/1453215484653/,3,"She's sweet and sticky.","2017-09-09 15:06:15.059362","2017-09-09 15:06:15.059362"
18,Phoenix,Dog,Tan,http://www.gannett-cdn.com/-mm-/9065941e142eb769bb76794c742e08d1e14ee558/r=300/http/www.gannett-cdn.com/-mm-/9065941e142eb769bb76794c742e08d1e14ee558/r=300/http/www.gannett-cdn.com/-mm-/20405e013c17db0ffab48c79faab251c7e16373c/c=108-0-588-480/local/-/media/2015/12/02/Phoenix/Phoenix/635846483676209811-Happy.jpg,17,"Happy dog, loves to laugh.","2017-09-09 15:07:19.702369","2017-09-09 15:07:19.702369"
19,"Miss Toot",Cat,White/Tan,http://www.caaws.org/wp-content/uploads/2016/08/misstoot-1-300x300.jpg,19,"Strong and smart.","2017-09-09 15:08:40.248942","2017-09-09 15:08:40.248942"
20,Rufus,Dog,Black/Tan,http://www.gannett-cdn.com/-mm-/9065941e142eb769bb76794c742e08d1e14ee558/r=300/http/www.gannett-cdn.com/-mm-/9065941e142eb769bb76794c742e08d1e14ee558/r=300/http/www.gannett-cdn.com/-mm-/236beb293d6192e9ce254d085efaaa3ca5aa22cf/c=82-0-596-514/local/-/media/2016/01/06/Phoenix/Phoenix/635876984318353757-frankiepotw.JPG,19,"Abused, looking for a loving family.","2017-09-09 15:09:44.864369","2017-09-09 15:09:44.864369"
21,Simba,Cat,Orange,https://www.petcentric.com/media/187753/seniorcats.jpg?anchor=center&mode=crop&quality=80&width=300&height=300&rnd=131239573680000000,10,"Outdoor cat, likes to chase mice.","2017-09-09 15:10:33.228777","2017-09-09 15:10:33.228777"
22,Buck,Dog,Tan/White,http://www.muchlove.org/wp-content/uploads/2017/09/Buck1-300x300.jpg,18,"Happy dog, loves rap music.","2017-09-09 15:12:45.707429","2017-09-09 15:12:45.707429"
23,Chaz,Cat,Grey/Tan,http://suindependent.com/wp-content/uploads/2017/07/Chaz.jpg,20,"Loves meatloaf.","2017-09-09 15:13:29.909983","2017-09-09 15:13:29.909983"
24,Flora,Dog,Black,http://www.caaws.org/wp-content/uploads/2017/05/thumbnail_Flora-3-e1493943925733-300x300.jpg,7,"Looking for a family who will appreciate her.","2017-09-09 15:14:24.475479","2017-09-09 15:14:24.475479"
25,Amira,Cat,White/Grey,http://www.caaws.org/wp-content/uploads/2016/08/Amira-2-1-300x300.jpg,8,"Sometimes she thinks she's a tiger.","2017-09-09 15:15:24.996978","2017-09-09 15:15:24.996978"
26,Scruffy,Dog,White/Tan,https://pet-net.net/wp-content/uploads/Scruffy-Papillon-Dog-For-Adoption-in-Hawaii3-300x300.jpg,6,"King of the lapdogs.","2017-09-09 15:16:25.554024","2017-09-09 15:16:25.554024"
27,Damon,Cat,Black/Grey,http://www.caaws.org/wp-content/uploads/2016/12/thumbnail_damon3-e1481809847953-300x300.jpg,11,"Enjoys carpet cat structures.","2017-09-09 15:17:40.887552","2017-09-09 15:17:40.887552"
28,Conor,Dog,Tan/White,http://www.hslcnm.org/wp-content/uploads/2016/01/dog.png,13,"Named after his favorite boxer.","2017-09-09 15:18:42.780601","2017-09-09 15:18:42.780601"
29,Darkness,Cat,Black,https://i.pinimg.com/originals/37/4f/79/374f790a06098ed88285bf980a1aec72.jpg,10,"Lord of the underworld.","2017-09-09 15:19:40.660293","2017-09-09 15:19:40.660293"
30,Daisy,Dog,White/Grey,http://cayugadogrescue.org/wp/wp-content/uploads/2017/06/Daisy2-300.jpg,20,"She smells like daisies.","2017-09-09 15:21:31.135980","2017-09-09 15:21:31.135980"
31,"Snow White",Cat,Black/White,"https://static.wixstatic.com/media/c7b55b_70e72588b1d44ce187c687ab27713f43~mv2_d_3356_5034_s_4_2.jpg/v1/fill/w_300,h_300/c7b55b_70e72588b1d44ce187c687ab27713f43~mv2_d_3356_5034_s_4_2.jpg",20,"She likes male cats, comes with seven suitors.","2017-09-09 15:23:53.376230","2017-09-09 15:23:53.376230"
32,Murial,Dog,White/Tan,http://harmonyhaven.org/murial.jpg,30,"Family friendly.","2017-09-09 15:25:10.904355","2017-09-09 15:25:10.904355"
33,Misty,Cat,Grey,http://suindependent.com/wp-content/uploads/2017/07/Misty.jpg,20,"She likes to hide.","2017-09-09 15:26:32.392791","2017-09-09 15:26:51.691951"
34,Bruiser,Dog,White/Tan,http://noahsarksociety.org/wp-content/uploads/2017/07/20170711_170843-300x300.jpg,27,"Very excited and lots of energy.","2017-09-09 15:27:56.820202","2017-09-09 15:27:56.820202"
35,Chardonnay,Cat,White/Grey,https://pspca.org/wp-content/uploads/2015/10/Chardonnay-300x300.jpg,3,"You'll get drunk off her love.","2017-09-09 15:28:41.926093","2017-09-09 15:28:41.926093"
36,Rocky,Dog,White/Tan,http://newarkvethospital.com/wp-content/uploads/2016/04/english-bulldog-538485_640-300x300.jpg,13,"Hardly slobbers.","2017-09-09 15:30:00.123237","2017-09-09 15:30:00.123237"
